date,open,close,high,low,volume
2014-09-04,70.937,71.264,72.064,70.01,23975.0
2014-09-05,71.846,73.491,74.082,71.4,34731.0
2014-09-09,73.619,70.373,73.909,70.3,20562.0
2014-09-10,70.028,70.219,71.209,69.4,17867.0
2014-09-11,70.182,68.464,71.046,68.01,31875.0
2014-09-12,68.019,68.891,69.073,66.955,17356.0
2014-09-15,68.391,66.128,68.4,65.573,32543.0
2014-09-16,67.119,64.355,67.21,63.955,34823.0
2014-09-17,65.273,65.055,66.246,64.246,25841.0
2014-09-18,64.864,65.982,66.1,64.01,26482.0
2014-09-19,65.982,67.437,67.555,65.3,22665.0
2014-09-22,67.31,63.882,67.31,63.791,37191.0
2014-09-23,63.664,64.373,64.391,63.355,34546.0
2014-09-24,63.473,66.837,67.119,62.664,43448.0
2014-09-25,67.5,68.655,70.282,67.482,56851.0
2014-09-26,68.028,68.764,69.5,65.937,22716.0
2014-09-29,68.782,68.91,69.573,67.928,23488.0
2014-09-30,69.155,68.6,69.382,67.755,21574.0
2014-10-08,67.573,67.328,67.664,64.664,45652.0
2014-10-09,66.546,66.673,66.891,65.373,36244.0
2014-10-10,65.773,65.773,66.482,64.573,43147.0
2014-10-13,64.673,63.119,64.737,60.919,53176.0
2014-10-14,62.119,62.037,63.928,61.61,28895.0
2014-10-15,61.891,64.228,64.464,61.855,22238.0
2014-10-16,63.119,64.228,65.019,63.119,23949.0
2014-10-17,64.846,65.191,65.8,63.846,30976.0
2014-10-20,65.191,63.864,65.3,63.391,32910.0
2014-10-21,63.937,65.264,66.064,63.573,39911.0
2014-10-22,65.246,65.828,66.173,64.391,22836.0
2014-10-23,65.364,65.8,66.919,64.746,31917.0
2014-10-24,65.71,65.646,66.564,64.564,19980.0
2014-10-27,63.91,64.391,65.846,62.019,27970.0
2014-10-28,64.228,65.519,65.846,64.1,20548.0
2014-10-29,65.573,65.119,66.264,64.373,21423.0
2014-10-30,64.846,62.5,64.846,62.21,49087.0
2014-10-31,62.546,63.646,63.846,61.528,36421.0
2014-11-03,63.71,62.646,63.828,62.528,24670.0
2014-11-04,62.564,58.837,62.564,58.482,55943.0
2014-11-05,58.528,54.073,58.528,53.482,76719.0
2014-11-06,54.073,54.982,55.291,53.946,36362.0
2014-11-07,55.0,55.791,56.028,54.946,41507.0
2014-11-10,57.573,61.0,61.01,56.664,62325.0
2014-11-11,61.482,60.619,62.3,59.4,47706.0
2014-11-12,60.282,60.2,60.837,57.755,30823.0
2014-11-13,60.046,59.01,60.055,57.282,49155.0
2014-11-14,58.991,64.2,64.51,58.4,75225.0
2014-11-17,73.937,66.71,73.937,66.664,150416.0
2014-11-18,67.573,62.71,68.319,62.119,63497.0
2014-11-19,62.637,60.364,62.71,59.946,46290.0
2014-11-20,60.191,58.191,60.228,58.019,46258.0
2014-11-21,58.082,60.419,60.482,57.755,41990.0
2014-11-24,61.1,61.164,62.119,59.391,53878.0
2014-11-25,60.682,61.791,61.982,60.119,53231.0
2014-11-26,61.755,62.982,63.355,61.11,63858.0
2014-11-27,62.119,63.646,64.137,61.21,96551.0
2014-11-28,63.546,62.882,63.546,60.455,88288.0
2014-12-01,63.546,66.719,67.573,63.028,121740.0
2014-12-02,65.8,67.7,67.755,65.073,99268.0
2014-12-03,68.882,71.055,74.209,68.81,117322.0
2014-12-04,72.573,79.509,79.846,72.573,117781.0
2014-12-05,83.019,76.591,83.9,74.482,112901.0
2014-12-08,74.7,78.455,81.655,73.209,100894.0
2014-12-09,77.573,78.355,90.864,77.119,151890.0
2014-12-10,80.3,84.773,88.028,80.3,106656.0
2014-12-11,84.846,81.109,86.609,80.564,54882.0
2014-12-12,81.919,81.746,85.746,81.209,51055.0
2014-12-15,81.755,88.519,88.573,80.691,70964.0
2014-12-16,88.209,85.419,88.209,83.128,51129.0
2014-12-17,84.837,84.0,86.164,82.846,60020.0
2014-12-18,84.564,84.246,86.846,83.937,38567.0
2014-12-19,83.991,85.591,86.646,83.028,49631.0
2014-12-22,84.528,88.573,88.746,81.1,73623.0
2014-12-23,88.282,92.9,97.109,86.673,85650.0
2014-12-24,92.119,87.628,95.573,85.464,63554.0
2014-12-25,87.709,90.146,90.3,85.764,44071.0
2014-12-26,89.473,91.728,93.028,87.573,42677.0
2014-12-29,92.209,88.009,93.937,86.664,89838.0
2014-12-30,87.573,91.064,92.1,87.1,56171.0
2014-12-31,89.937,93.591,93.937,89.391,46269.0
2015-01-05,93.591,105.319,106.882,92.746,94515.0
2015-01-06,103.028,101.055,105.355,99.409,55020.0
2015-01-07,99.428,96.609,102.573,93.928,54797.0
2015-01-08,97.573,95.537,98.046,94.064,40525.0
2015-01-09,94.3,94.219,99.182,94.037,53982.0
2015-01-12,93.937,90.691,96.291,88.9,49914.0
2015-01-13,91.209,89.282,92.609,89.028,36708.0
2015-01-14,89.391,87.737,90.755,85.646,52403.0
2015-01-15,88.382,90.364,90.664,87.1,48585.0
2015-01-16,90.482,90.4,92.119,90.282,39978.0
2015-01-19,85.755,80.737,87.755,77.091,64679.0
2015-01-20,81.228,83.1,85.3,78.482,61022.0
2015-01-21,83.273,86.991,87.482,82.3,52674.0
2015-01-22,87.0,85.964,88.809,84.846,38254.0
2015-01-23,84.955,85.773,87.828,84.946,33084.0
2015-01-26,86.391,87.391,88.028,85.8,35649.0
2015-01-27,87.409,84.946,87.409,83.028,41883.0
2015-01-28,83.937,82.546,85.209,82.391,30680.0
2015-01-29,81.391,81.346,83.028,80.3,32492.0
2015-01-30,82.109,82.282,85.755,81.664,47508.0
2015-02-02,80.764,80.137,81.573,78.937,33983.0
2015-02-03,82.555,83.364,83.619,81.391,27792.0
2015-02-04,84.073,82.346,86.737,82.119,35293.0
2015-02-05,83.909,79.437,85.664,79.391,41239.0
2015-02-06,79.973,79.937,81.664,79.028,37102.0
2015-02-09,81.0,88.755,89.482,80.3,87293.0
2015-02-10,89.209,87.464,89.573,86.164,53638.0
2015-02-11,87.028,87.709,88.709,86.737,22894.0
2015-02-12,88.473,88.091,88.928,86.673,25050.0
2015-02-13,88.582,87.109,88.937,86.119,40127.0
2015-02-16,87.155,87.855,88.146,85.955,39521.0
2015-02-17,88.073,86.864,88.382,86.582,34172.0
2015-02-25,87.573,88.446,90.028,85.855,59935.0
2015-02-26,88.3,90.882,92.473,88.073,62297.0
2015-02-27,91.119,94.891,98.028,91.028,63370.0
2015-03-02,94.664,94.6,97.391,93.028,31098.0
2015-03-03,93.3,90.255,95.755,89.537,42999.0
2015-03-04,91.2,91.382,92.128,89.028,40662.0
2015-03-05,89.4,89.864,91.237,88.528,36206.0
2015-03-06,89.709,88.137,90.737,87.819,25470.0
2015-03-09,90.119,95.355,96.655,88.3,43486.0
2015-03-10,94.791,91.964,95.3,91.464,29637.0
2015-03-11,91.964,95.737,96.664,91.937,40583.0
2015-03-12,96.664,96.437,99.382,95.209,38496.0
2015-03-13,96.391,93.855,97.482,92.646,25479.0
2015-03-16,93.991,97.355,98.028,91.219,31160.0
2015-03-17,98.473,100.091,101.837,98.382,45904.0
2015-03-18,100.119,102.528,103.019,98.955,39304.0
2015-03-19,101.7,98.737,102.109,97.628,33539.0
2015-03-20,97.755,96.8,98.473,94.737,51373.0
2015-03-23,98.182,98.555,100.073,96.846,40979.0
2015-03-24,98.755,99.109,100.7,95.846,60079.0
2015-03-25,96.664,96.464,98.573,95.809,42240.0
2015-03-26,97.164,101.719,102.937,95.755,67105.0
2015-03-27,101.209,98.073,101.719,96.619,40144.59
2015-03-30,98.191,100.091,102.073,96.755,63451.0
2015-03-31,100.009,99.355,103.728,97.591,88130.0
2015-04-01,99.419,98.791,100.809,98.009,76875.0
2015-04-02,99.355,98.1,100.846,96.555,62981.0
2015-04-03,97.573,100.128,100.309,96.464,51210.0
2015-04-07,100.164,103.637,104.009,99.209,59824.0
2015-04-08,105.3,107.119,112.737,104.473,135857.0
2015-04-09,107.1,103.028,108.373,102.164,62399.0
2015-04-10,103.019,103.228,105.746,102.673,102019.0
2015-04-13,104.437,106.573,107.109,102.064,91356.0
2015-04-14,106.664,108.482,111.464,106.628,81903.0
2015-04-15,111.3,108.209,111.919,106.809,55005.0
2015-04-16,110.8,126.909,126.909,110.146,86014.0
2015-04-17,138.391,132.628,147.3,128.737,192094.0
2015-04-20,130.3,133.964,144.573,129.391,130588.0
2015-04-21,139.391,155.237,155.237,139.391,122401.0
2015-04-22,165.573,161.109,165.755,154.946,134635.0
2015-04-23,161.209,153.973,161.364,151.191,86030.0
2015-04-24,150.191,156.2,157.282,143.946,100531.0
2015-04-27,155.373,153.746,164.664,151.2,78973.0
2015-04-28,152.119,146.564,156.3,145.8,87291.0
2015-04-29,144.937,148.282,151.209,144.937,59300.0
2015-04-30,149.528,150.509,152.937,146.437,64064.0
2015-05-04,150.9,153.0,156.664,148.5,54739.0
2015-05-05,150.3,140.255,150.3,139.282,73700.0
2015-05-06,143.009,141.828,145.746,139.4,60324.0
2015-05-07,143.937,143.873,150.191,141.719,68102.0
2015-05-08,144.955,152.273,152.919,144.755,57805.0
2015-05-11,149.846,155.246,155.746,148.482,61345.0
2015-05-12,155.028,152.5,155.028,150.3,47031.0
2015-05-13,151.937,154.3,160.273,150.755,58913.0
2015-05-14,154.164,149.764,157.119,149.591,41853.0
2015-05-15,149.764,144.091,151.655,140.855,54185.0
2015-05-18,143.937,140.428,143.937,139.482,35363.0
2015-05-19,140.346,148.519,148.682,139.573,47637.0
2015-05-20,150.3,152.073,157.573,147.846,63771.0
2015-05-21,153.937,156.291,158.755,152.128,47669.0
2015-05-22,157.282,171.991,172.846,157.2,66649.0
2015-05-25,166.664,181.964,183.473,165.755,67473.0
2015-05-26,181.755,180.791,184.846,179.355,60914.0
2015-05-27,180.773,172.937,184.228,169.391,46934.0
2015-05-28,171.437,158.582,176.664,157.664,60884.0
2015-05-29,157.582,161.055,165.755,157.473,57783.0
2015-06-01,161.155,167.991,169.373,157.391,65816.0
2015-06-02,167.118,163.591,167.118,158.173,64635.0
2015-06-03,162.282,160.109,163.591,157.582,46424.0
2015-06-04,160.282,155.946,162.118,139.391,92362.0
2015-06-05,155.855,151.973,159.482,144.846,85738.0
2015-06-08,149.855,161.791,164.428,148.3,96007.0
